ISO.Code,Country.Name,Indicator,Shortind,Sex,Year,Median,Lower,Upper
HTI,Haiti,Under-five mortality rate,U5MR,Total,2023.5,55.1196790094455,36.4223181215655,83.9755915728089
HUN,Hungary,Under-five mortality rate,U5MR,Total,2023.5,3.80279823989519,3.53212947413094,4.09701945709879
IDN,Indonesia,Under-five mortality rate,U5MR,Total,2023.5,20.6243807013703,15.2206450239869,27.9579727539898
IND,India,Under-five mortality rate,U5MR,Total,2023.5,27.7458109316277,23.8520489283873,31.9127104570395
IRL,Ireland,Under-five mortality rate,U5MR,Total,2023.5,3.80372048966499,3.37119805132474,4.32633222354387
IRN,Iran (Islamic Republic of),Under-five mortality rate,U5MR,Total,2023.5,11.7733135336402,6.44229844540113,21.1943119329223
IRQ,Iraq,Under-five mortality rate,U5MR,Total,2023.5,22.6162569834139,15.7935172767328,32.1363329240165
ISL,Iceland,Under-five mortality rate,U5MR,Total,2023.5,2.57472555404548,1.94283911657941,3.39862120628027
ISR,Israel,Under-five mortality rate,U5MR,Total,2023.5,3.38533079737447,3.23319835206223,3.5541308583446
ITA,Italy,Under-five mortality rate,U5MR,Total,2023.5,2.75590246778776,2.65443280661536,2.86517644494277
JAM,Jamaica,Under-five mortality rate,U5MR,Total,2023.5,19.328880434224,17.9535806948562,20.7884493147218
JOR,Jordan,Under-five mortality rate,U5MR,Total,2023.5,13.2122770531217,9.84890114238811,18.4217238045157
JPN,Japan,Under-five mortality rate,U5MR,Total,2023.5,2.36329370011246,2.28917360612558,2.44027807162001
KAZ,Kazakhstan,Under-five mortality rate,U5MR,Total,2023.5,9.647649580224,9.32622451378712,9.98199693987584
KEN,Kenya,Under-five mortality rate,U5MR,Total,2023.5,39.9020853659561,33.3329657290328,47.7928878698881
KGZ,Kyrgyzstan,Under-five mortality rate,U5MR,Total,2023.5,16.9818849846389,16.1475637533336,17.9699520032915
KHM,Cambodia,Under-five mortality rate,U5MR,Total,2023.5,22.8970886646212,10.8948673108912,49.2258436232639
KIR,Kiribati,Under-five mortality rate,U5MR,Total,2023.5,55.1416191163788,34.4613480965518,85.6745984064796
KNA,Saint Kitts and Nevis,Under-five mortality rate,U5MR,Total,2023.5,16.2776270747926,10.3489063624311,25.4662602255769
KOR,Republic of Korea,Under-five mortality rate,U5MR,Total,2023.5,2.7607253167146,2.58448093538757,2.9508177164169
KWT,Kuwait,Under-five mortality rate,U5MR,Total,2023.5,8.75081279550874,8.24953922820073,9.30650889065908
LAO,Lao People's Democratic Republic,Under-five mortality rate,U5MR,Total,2023.5,39.0013593789495,25.9631033176805,58.0835985147411
LBN,Lebanon,Under-five mortality rate,U5MR,Total,2023.5,18.3135908493755,16.4602693426626,20.3942598420417
LBR,Liberia,Under-five mortality rate,U5MR,Total,2023.5,72.8828203574436,52.2468901854405,101.790798054322
LBY,Libya,Under-five mortality rate,U5MR,Total,2023.5,30.7841021547709,17.0464297506634,54.9817676884614
LCA,Saint Lucia,Under-five mortality rate,U5MR,Total,2023.5,15.5456573072636,13.2276364685355,18.2878187092446
LKA,Sri Lanka,Under-five mortality rate,U5MR,Total,2023.5,6.1079251407175,5.30877072570501,7.01468382229998
LSO,Lesotho,Under-five mortality rate,U5MR,Total,2023.5,58.9340295596677,43.1232618399663,78.056616684241
LTU,Lithuania,Under-five mortality rate,U5MR,Total,2023.5,3.38030727139981,2.88274405500119,3.95304242358296
LUX,Luxembourg,Under-five mortality rate,U5MR,Total,2023.5,2.33584018415173,1.82175352871761,2.98873626680286
LVA,Latvia,Under-five mortality rate,U5MR,Total,2023.5,2.96386748885158,2.47870045488308,3.52214670995038
MAR,Morocco,Under-five mortality rate,U5MR,Total,2023.5,16.5750520440067,10.8614946308162,24.6948948108801
MCO,Monaco,Under-five mortality rate,U5MR,Total,2023.5,2.74357960692125,1.65641187624928,4.52402271009462
MDA,Republic of Moldova,Under-five mortality rate,U5MR,Total,2023.5,14.6743139532414,11.2433498710285,19.9427542990806
MDG,Madagascar,Under-five mortality rate,U5MR,Total,2023.5,64.7707955306173,51.5547823871489,82.5793973180437
MDV,Maldives,Under-five mortality rate,U5MR,Total,2023.5,5.70566171366928,4.68118185041552,6.94415808245125
MEX,Mexico,Under-five mortality rate,U5MR,Total,2023.5,12.4590753638058,9.94022698681189,15.4938941667097
MHL,Marshall Islands,Under-five mortality rate,U5MR,Total,2023.5,28.1766387845238,15.9836966774676,49.1124578628382
MKD,North Macedonia,Under-five mortality rate,U5MR,Total,2023.5,3.25872617634388,2.71963661538613,3.86781440785606
MLI,Mali,Under-five mortality rate,U5MR,Total,2023.5,91.3014473438702,68.6924634724835,121.432952559403
MLT,Malta,Under-five mortality rate,U5MR,Total,2023.5,5.49563753755485,4.45687408151329,6.75752895128825
